greedygame.com, 2833, DIRECT
google.com, pub-4878508349196632, DIRECT, f08c47fec0942fa0
google.com, pub-4014116528250667, DIRECT, f08c47fec0942fa0
google.com, pub-5016155138623826, DIRECT, f08c47fec0942fa0
google.com, pub-1319439960711666, DIRECT, f08c47fec0942fa0
google.com, pub-4411488590801555, DIRECT, f08c47fec0942fa0
facebook.com, 586346329141259, DIRECT, c3e20eee3f780d68
google.com, pub-9422585382673566, DIRECT, f08c47fec0942fa0
appnexus.com, 12801, RESELLER, f5ab79cb980f11d1
appnexus.com, 12911, RESELLER, f5ab79cb980f11d1
conversantmedia.com, 100225, RESELLER, 03113cd04947736d
google.com, pub-3058116952996315, DIRECT, f08c47fec0942fa0
google.com, pub-6996401192968415, DIRECT, f08c47fec0942fa0
google.com, pub-7839649756834603, DIRECT, f08c47fec0942fa0
facebook.com, 360519857847105, DIRECT, c3e20eee3f780d68
facebook.com, 905830790167924, DIRECT, c3e20eee3f780d68
google.com, pub-8027943371617765, DIRECT, f08c47fec0942fa0
google.com, pub-5556993947005904, DIRECT, f08c47fec0942fa0
google.com, pub-2164411618032035, DIRECT, f08c47fec0942fa0
google.com, pub-7757482129711765, DIRECT, f08c47fec0942fa0
facebook.com, 926526227706086, DIRECT, c3e20eee3f780d68
facebook.com, 673621709844309, DIRECT, c3e20eee3f780d68



facebook.com, 424695364635242, DIRECT, c3e20eee3f780d68
facebook.com, 850655962328300, DIRECT, c3e20eee3f780d68
facebook.com, 566458221342851, DIRECT, c3e20eee3f780d68
mopub.com, ba0baa107ebe404e8e5c6e34bfbc22d3, DIRECT, 74b46c0ea83967ca
mopub.com, 59e9ee24f02a40559dbeb9480cc55e69, DIRECT, 74b46c0ea83967ca
google.com, pub-3012454251892709, DIRECT, f08c47fec0942fa0
google.com, pub-9698663567428219, DIRECT, f08c47fec0942fa0
google.com, pub-7272419478823437, DIRECT, f08c47fec0942fa0
google.com, pub-9183163350538512, DIRECT, f08c47fec0942fa0
google.com, pub-4748961866418587, DIRECT, f08c47fec0942fa0

google.com, pub-3771280911330429, DIRECT, f08c47fec0942fa0

google.com, pub-7839649756834603, DIRECT, f08c47fec0942fa0
google.com, pub-1067374679252537, DIRECT, f08c47fec0942fa0
openx.com, 544024467, RESELLER, 6a698e2ec38604c6
appnexus.com, 8610, RESELLER, f5ab79cb980f11d1
e-planning.net,99c48da2b8e92422,RESELLER,c1ba615865ed87b2
rubiconproject.com,12186,RESELLER,0bfd66d529a55807
rhythmone.com,1767353092,RESELLER,a670c89d4a324e47
axonix.com,56222,RESELLER
openx.com,541031350,RESELLER,6a698e2ec38604c6
aol.com, 57992, RESELLER, e1a5b5b6e3255540
Yahoo.com, 57992, RESELLER, e1a5b5b6e3255540
pubmatic.com,156631,RESELLER,5d62403b186f2ace
Improvedigital.com,1887,RESELLER
uis.mobfox.com, MF308, RESELLER, 5529a3d1f59865be
appnexus.com,2637,RESELLER,f5ab79cb980f11d1
appnexus.com,2850,RESELLER,f5ab79cb980f11d1
openx.com,539249210,RESELLER,6a698e2ec38604c6
pubmatic.com,156451,RESELLER,5d62403b186f2ace
rubiconproject.com,17494,RESELLER,0bfd66d529a55807
xad.com,589,RESELLER,81cbf0a75a5e0e9a
Inmobi.com,a5e661acdc384e91a79a58eb3418e99f,RESELLER,83e75a7ae333ca9d
pubnative.net, 1007673, DIRECT, d641df8625486a7b
pubnative.net, 1007673, RESELLER, d641df8625486a7b
Verve.com, 15290, RESELLER, 0c8f5958fc2d6270 
Verve.com, 15503, RESELLER, 0c8f5958fc2d6270 
pubmatic.com, 155975, RESELLER, 5d62403b186f2ace
pubmatic.com, 160145, RESELLER, 5d62403b186f2ace 
algorix.co, 60133, DIRECT, 5b394c12fea27a1d
algorix.co, 60134, DIRECT, 5b394c12fea27a1d
openx.com, 540838151, RESELLER, 6a698e2ec38604c6
inmobi.com, 22e5354e453f49348325184e25464adb, RESELLER, 83e75a7ae333ca9d
pubnative.net, 1007262, RESELLER, d641df8625486a7b
google.com, pub-6968738577620513, RESELLER, f08c47fec0942fa0
google.com, pub-8268618999035658, RESELLER, f08c47fec0942fa0
bcm.ltd, 132991, DIRECT
mobupps.com, c74d97b01eae257e44aa9d5bade97baf9189, DIRECT
pubmatic.com, 160906, RESELLER, 5d62403b186f2ace
appnexus.com, 8610, RESELLER, f5ab79cb980f11d1
amxrtb.com, 105199402, DIRECT
indexexchange.com, 191503, RESELLER
appnexus.com, 11786, RESELLER
appnexus.com, 12290, RESELLER
appnexus.com, 9393, RESELLER 
appnexus.com, 3153, RESELLER, f5ab79cb980f11d1
appnexus.com, 11924, RESELLER, f5ab79cb980f11d1
smartadserver.com, 3056, RESELLER
appnexus.com, 1356, RESELLER, f5ab79cb980f11d1
lijit.com, 260380, RESELLER, fafdf38b16bf6b2b
sovrn.com, 260380, RESELLER, fafdf38b16bf6b2b
betweendigital.com, 44102, DIRECT
openx.com, 541177349, RESELLER, 6a698e2ec38604c6
pubmatic.com, 159668, RESELLER, 5d62403b186f2ace
rubiconproject.com, 19724, RESELLER, 0bfd66d529a55807
adcolony.com, 29b7f4a14dc689eb, RESELLER, 1ad675c9de6b5176
meitu.com, 654, RESELLER
rhythmone.com, 3880497124, RESELLER, a670c89d4a324e47
video.unrulymedia.com, 3880497124, RESELLER
sovrn.com, 273644, RESELLER, fafdf38b16bf6b2b
lijit.com, 273644, RESELLER, fafdf38b16bf6b2b
onetag.com, 5d1628750185ace, RESELLER
loopme.com, 11278, RESELLER, 6c8d5f95897a5a3b
gamoshi.io, 267-b4736, DIRECT
gamoshi.io, 267-b4736, RESELLER
inmobi.com,7624ecaf216449b08cec2fb26c2891e2,DIRECT,83e75a7ae333ca9d
inmobi.com,6665857c95674e03b5cfa49d174d9601,RESELLER,83e75a7ae333ca9d
inmobi.com,3af76ebd8ed44d04b01d827c6f3bb5b4,RESELLER,83e75a7ae333ca9d
inmobi.com,f4b340bf9ec148c48892790edffe4f91,RESELLER,83e75a7ae333ca9d
inmobi.com,ed6dc19c0c3641c9922627e93067c409,RESELLER,83e75a7ae333ca9d
inmobi.com,ebc44eef6c104f7fbf7bc52ee29f7939,RESELLER,83e75a7ae333ca9d
inmobi.com,eb599497e3d345d19364cc841f39de31,RESELLER,83e75a7ae333ca9d
inmobi.com,fafa1521dbdb43f69b1eb199a0b007fd,RESELLER,83e75a7ae333ca9d
inmobi.com,0bb5f3a088bf45c2ac6a905570f632f6,RESELLER,83e75a7ae333ca9d
inmobi.com,2e0484e00bf84f35b133019004ef76a4,RESELLER,83e75a7ae333ca9d
inmobi.com,fe4db13744124582a6a2b18964560ce7,RESELLER,83e75a7ae333ca9d
inmobi.com,129f6cf736cd4803a47013466aa0a512,RESELLER,83e75a7ae333ca9d
inmobi.com,59c7922793a3477b9419f0854d1da7e9,RESELLER,83e75a7ae333ca9d
inmobi.com,22e5354e453f49348325184e25464adb,RESELLER,83e75a7ae333ca9d
inmobi.com,c3958b592fb04974992044720935c4bd,RESELLER,83e75a7ae333ca9d
inmobi.com,f3924290136e4129a5c082ff982c3a58,RESELLER,83e75a7ae333ca9d
inmobi.com,7c9e112a810a4b639bb6af3fa397233e,RESELLER,83e75a7ae333ca9d
inmobi.com,300bb0e4e3704cd495136c09d57448b9,RESELLER,83e75a7ae333ca9d
inmobi.com,ec6f6ceb8bb1440ba5455644ec96c275,RESELLER,83e75a7ae333ca9d
inmobi.com,a985e39014a94721a8e97c929d32ef9d,RESELLER,83e75a7ae333ca9d
inmobi.com,cec065af8e36462f8c33dc5a1f9781f7,RESELLER,83e75a7ae333ca9d
inmobi.com,a5e661acdc384e91a79a58eb3418e99f,RESELLER,83e75a7ae333ca9d
inmobi.com,55049d2e109d4ac1820ca1432dda4e13,RESELLER,83e75a7ae333ca9d
freewheel.tv,848065,RESELLER
freewheel.tv,848065,RESELLER
ucfunnel.com,par-BE7E29B3B48DE66BC7DDDA24E6267E29,RESELLER
Pubmatic.com,158651,RESELLER,5d62403b186f2ace
yahoo.com,55771,RESELLER,e1a5b5b6e3255540
Peak226.com,12903,RESELLER
rubiconproject.com,20744,RESELLER,0bfd66d529a55807
appnexus.com,4052,RESELLER
mobilefuse.com,240,RESELLER,71e88b065d69c021
pubmatic.com,159035,RESELLER,5d62403b186f2ace
rubiconproject.com,12266,RESELLER,0bfd66d529a55807
ogury.com,e91052177a44df900ef9977b4b8314fe,RESELLER
verve.com,5897,RESELLER,0c8f5958fc2d6270
mman.kr,32102,RESELLER
rubiconproject.com,20050,RESELLER,0bfd66d529a55807
improvedigital.com,1797,RESELLER
loopme.com,9724,RESELLER,6c8d5f95897a5a3b
pubmatic.com,156517,RESELLER,5d62403b186f2ace
smartadserver.com,3817,RESELLER
appnexus.com,7597,RESELLER,f5ab79cb980f11d1
advertising.com,28246,RESELLER
axonix.com,57716,RESELLER
pubmatic.com,155975,RESELLER,5d62403b186f2ace
Peak226.com,12700,RESELLER
algorix.co,54190,RESELLER
Verve.com,5897,RESELLER,0c8f5958fc2d6270
Blis.com,33,RESELLER,61453ae19a4b73f4
pubmatic.com,156494,RESELLER,5d62403b186f2ace
velismedia.com,1111,RESELLER
appnexus.com,12501,RESELLER
pubmatic.com,157153,RESELLER,5d62403b186f2ace
contextweb.com,558638,RESELLER,89ff185a4c4e857c
lkqd.net,626,RESELLER,59c49fa9598a0117
outbrain.com,00bba279fec6daa01a0cb6fdccb023f0d5,RESELLER
admixer.co.kr,1370,RESELLER
aralego.com,par-8A2AD843B76A2B93CB24D4B7D694B67E,RESELLER
sonobi.com,eaec54c63f,RESELLER,d1a215d9eb5aee9e
rubiconproject.com,11726,RESELLER,0bfd66d529a55807
rubiconproject.com,16928,RESELLER,0bfd66d529a55807
smartyads.com,478,RESELLER,fd2bde0ff2e62c5d
ucfunnel.com,par-8A2AD843B76A2B93CB24D4B7D694B67E,RESELLER
freewheel.tv,1158049,RESELLER
improvedigital.com,1623,RESELLER
adcolony.com,197af3936679d34e,RESELLER,1ad675c9de6b5176
pubmatic.com,156931,RESELLER,5d62403b186f2ace
rubiconproject.com,13132,RESELLER,0bfd66d529a55807
contextweb.com,561998,RESELLER,89ff185a4c4e857c
appnexus.com,8178,RESELLER,f5ab79cb980f11d1
rhythmone.com,188404962,RESELLER,a670c89d4a324e47
sonobi.com,cc3858f35e,RESELLER,d1a215d9eb5aee9e
video.unrulymedia.com,2169000724,RESELLER
lemmatechnologies.com,89,RESELLER,7829010c5bebd1fb
pubmatic.com,158100,RESELLER,5d62403b186f2ace
rubiconproject.com,19744,RESELLER,0bfd66d529a55807
video.unrulymedia.com,3704396951,RESELLER
conversantmedia.com,40881,RESELLER,03113cd04947736d
pubnative.net,1006951,RESELLER,d641df8625486a7b
appnexus.com,2764,RESELLER
openx.com,540298543,RESELLER,6a698e2ec38604c6
olaex.biz,100039,RESELLER
smartadserver.com,3232,RESELLER
onetag.com,59aa7be4921bac8,RESELLER
Peak226.com,12904,RESELLER
pubmatic.com,157097,RESELLER,5d62403b186f2ace
rubiconproject.com,15278,RESELLER,0bfd66d529a55807
xad.com,1190,RESELLER,81cbf0a75a5e0e9a
smartadserver.com,3564,RESELLER
indexexchange.com,184738,RESELLER
freewheel.tv,1158193,RESELLER

google.com, pub-4444107218387364, DIRECT, f08c47fec0942fa0
facebook.com, 243572607933575, DIRECT, c3e20eee3f780d68
facebook.com, 615737072830923, DIRECT, c3e20eee3f780d68
google.com, pub-4245478356585892, DIRECT, f08c47fec0942fa0
rubiconproject.com,17328,RESELLER,0bfd66d529a55807


applovin.com, 830b3a7f7d496ac06c054f2d20c33ab5, DIRECT
adcolony.com, 5d8cbf6671c93a42, RESELLER, 1ad675c9de6b5176
rubiconproject.com, 16356, RESELLER, 0bfd66d529a55807
openx.com, 540785403, RESELLER, 6a698e2ec38604c6
pubmatic.com, 159509, RESELLER, 5d62403b186f2ace
pubnative.net, 1007170, RESELLER, d641df8625486a7b
Verve.com, 15290, RESELLER, 0c8f5958fc2d6270
indexexchange.com, 192829, RESELLER, 50b1c356f2c5c8f
facebook.com, 203797847336802, DIRECT, c3e20eee3f780d68






#Premium Programmatic Demand by publisher@greedygame.com
google.com, pub-1067374679252537, RESELLER, f08c47fec0942fa0
pubmatic.com, 161480, RESELLER, 5d62403b186f2ace
rubiconproject.com, 24244, RESELLER, 0bfd66d529a55807
rubiconproject.com, 24242, RESELLER, 0bfd66d529a55807
yieldmo.com, 2888573976961819396, RESELLER
Media.net, 8CU64BY19, RESELLER
adcolony.com, 35c95674451fce1c, RESELLER, 1ad675c9de6b5176
engagebdr.com, 10515, RESELLER
smaato.com, 1100050581, RESELLER, 07bcf65f187117b4
smaato.com, 1100004890, RESELLER, 07bcf65f187117b4
adcolony.com, 496220845654deec, RESELLER, 1ad675c9de6b5176
admanmedia.com, 552, RESELLER
appnexus.com, 1752, RESELLER, f5ab79cb980f11d1
appnexus.com, 4052, RESELLER
bidmachine.io, 36, RESELLER
bidmachine.io, 60, RESELLER
bidmachine.io, 74, RESELLER
bidmachine.io, 77, RESELLER
blis.com, 86, RESELLER, 61453ae19a4b73f4
contextweb.com, 558622, RESELLER, 89ff185a4c4e857c
engagebdr.com, 16, RESELLER
indexexchange.com, 183920, RESELLER, 50b1c356f2c5c8fc
indexexchange.com, 184270, RESELLER, 50b1c356f2c5c8fc
indexexchange.com, 191332, RESELLER, 50b1c356f2c5c8fc
inmobi.com, 55049d2e109d4ac1820ca1432dda4e13, RESELLER, 83e75a7ae333ca9d
lkqd.net, 647, RESELLER, 59c49fa9598a0117
lkqd.net, 654, RESELLER, 59c49fa9598a0117
mars.media, 107876, RESELLER, 8624339f102fb076
mobilefuse.com, 2281, RESELLER, 71e88b065d69c021
openx.com, 540421297, RESELLER, 6a698e2ec38604c6
openx.com, 537152826, RESELLER, 6a698e2ec38604c6
pokkt.com, 5886, RESELLER, c45702d9311e25fd 
pubmatic.com, 156177, RESELLER, 5d62403b186f2ace
pubmatic.com, 156424, RESELLER, 5d62403b186f2ace
pubmatic.com, 156425, RESELLER, 5d62403b186f2ace 
pubmatic.com, 160145, RESELLER, 5d62403b186f2ace
pubnative.net, 1004796, RESELLER, d641df8625486a7b
pubnative.net, 1007194, RESELLER, d641df8625486a7b
rhythmone.com, 4201299756, RESELLER, a670c89d4a324e47
smartadserver.com, 3117, RESELLER
smartyads.com, 100115, RESELLER, fd2bde0ff2e62c5d
startapp.com, smt, RESELLER
verve.com, 14619, RESELLER, 0c8f5958fc2d6270
xad.com, 241, RESELLER, 81cbf0a75a5e0e9a
mobilefuse.com, 2281, RESELLER
pokkt.com, 5886, RESELLER, c45702d9311e25fd

google.com, pub-2402101423270859, DIRECT, f08c47fec0942fa0

ironsrc.com, 396086, DIRECT
ninthdecimal.com, 6364d3f0f495b6ab9dcf8d3b5c6e0b01, RESELLER, 3aff2148687b274b
admanmedia.com, 9, RESELLER
appnexus.com, 7445, RESELLER
google.com, pub-7452201096415972, RESELLER, f08c47fec0942fa0
smartclip.net, 8153, RESELLER
stroeer.com, 17379, RESELLER
algorix.co, 54400, RESELLER, 5b394c12fea27a1d
openx.com, 540838151, RESELLER, 6a698e2ec38604c6
aralego.com, par-627DA26297666D280EA8323E33ABAED7, RESELLER
rubiconproject.com, 20050, RESELLER, 0bfd66d529a55807
appnexus.com, 2480, RESELLER, f5ab79cb980f11d1
rubiconproject.com, 18364, RESELLER, 0bfd66d529a55807
conversantmedia.com, 100234, RESELLER, 03113cd04947736d
smartadserver.com, 3020, RESELLER
gamoshi.io ,267-b4808 ,RESELLER ,20e30b2ae1f670f2
yahoo.com, 59468, RESELLER
improvedigital.com, 1114, RESELLER
indexexchange.com, 185996, RESELLER
rubiconproject.com, 16676, RESELLER, 0bfd66d529a55807
inmobi.com, 3af76ebd8ed44d04b01d827c6f3bb5b4, RESELLER, 83e75a7ae333ca9d
rubiconproject.com, 11726, RESELLER, 0bfd66d529a55807
ssp.logan.ai, AJxF6R2a9M6CaTvK, RESELLER
improvedigital.com, 1532, RESELLER
loopme.com, 10287, RESELLER, 6c8d5f95897a5a3b
rubiconproject.com, 20744, RESELLER, 0bfd66d529a55807
pubmatic.com, 158154, RESELLER, 5d62403b186f2ace
contextweb.com, 562499, RESELLER, 89ff185a4c4e857c
openx.com, 539363588, RESELLER, 6a698e2ec38604c6
openx.com, 540311484, RESELLER, 6a698e2ec38604c6
appads.in, 105536, RESELLER
pokkt.com, 5536, RESELLER, c45702d9311e25fd
pubmatic.com, 160456, RESELLER, 5d62403b186f2ace
spotxchange.com, 307720, RESELLER, 7842df1d2fe2db34
Pubnative.net, 1006856, RESELLER, d641df8625486a7b
pubmatic.com, 156372, RESELLER, 5d62403b186f2ace 
pubmatic.com, 159087, RESELLER,5d62403b186f2ace
pubnative.net, 1007007, RESELLER, d641df8625486a7b
rhythmone.com, 3169196794, RESELLER, a670c89d4a324e47
video.unrulymedia.com, 3169196794, RESELLER
rubiconproject.com, 20942, RESELLER, 0bfd66d529a55807
rubiconproject.com, 15526, RESELLER, 0bfd66d529a55807
openx.com, 540421297, RESELLER, 6a698e2ec38604c6
pubmatic.com, 156177, RESELLER, 5d62403b186f2ace
pubmatic.com, 156425, RESELLER, 5d62403b186f2ace
smaato.com, 1100040398, RESELLER, 07bcf65f187117b4
xad.com, 241, RESELLER, 81cbf0a75a5e0e9a
smartadserver.com, 4237, RESELLER
smartadserver.com, 4016, RESELLER
smartclip.net, 411, RESELLER
Smartclip.net, 9394, RESELLER
appnexus.com, 3368, RESELLER
smartstream.tv, 417, RESELLER
yieldlab.net, 2172218, RESELLER
spotx.tv, 139784, RESELLER, 7842df1d2fe2db34
spotxchange.com, 139784, RESELLER, 7842df1d2fe2db34
stroeer.com, 17355, RESELLER
openx.com, 537153564, RESELLER, 6a698e2ec38604c6
undertone.com, 3635, RESELLER
rubiconproject.com, 22412, RESELLER, 0bfd66d529a55807
pubmatic.com, 160318, RESELLER, 5d62403b186f2ace
undertone.com, 4108, RESELLER
advertising.com, 8693, RESELLER
aol.com, 25910, RESELLER
verve.com, 14561, RESELLER, 0c8f5958fc2d6270
indexexchange.com, 192829, RESELLER, 50b1c356f2c5c8fc
verve.com, 15503, RESELLER, 0c8f5958fc2d6270
conversantmedia.com, 100097, RESELLER, 03113cd04947736d
yahoo.com, 59318, RESELLER
yandex.com, 37982190, RESELLER
